001-finder-rename	Rename the file at ~/Desktop/kinbench/001-input.txt to 001-output.txt (keep it in the same folder).	finder rename ~/Desktop/kinbench/001-input.txt ~/Desktop/kinbench/001-output.txt
003-notes-create	Create a new note in the Notes app titled 'KinBench Test 003' (any body content is fine).	notes create 
004-settings-dark-mode	Switch macOS to Dark Mode (use System Settings → Appearance).	settings set_appearance DARK
005-finder-zip	There are three files in ~/Desktop/kinbench/005-archive/ (a.txt, b.txt, c.txt). Compress them into a single zip archive named ~/Desktop/kinbench/005-archive.zip.	finder zip ~/Desktop/kinbench/005-archive.zip ~/Desktop/kinbench/005-archive/a.txt ~/Desktop/kinbench/005-archive/b.txt ~/Desktop/kinbench/005-archive/c.txt
006-finder-create-folder	Create a new folder named '006-myfolder' in ~/Desktop/kinbench/.	finder mkdir ~/Desktop/kinbench/006-myfolder
007-finder-trash-file	Move the file ~/Desktop/kinbench/007-doomed.txt to the Trash.	finder trash ~/Desktop/kinbench/007-doomed.txt
008-finder-move-file	Move the file file.txt from ~/Desktop/kinbench/008-src/ to ~/Desktop/kinbench/008-dst/.	finder move ~/Desktop/kinbench/008-src/file.txt ~/Desktop/kinbench/008-dst/file.txt
009-finder-duplicate-file	Duplicate the file at ~/Desktop/kinbench/009-source.txt — leave both the original and the duplicate in the same folder.	finder copy ~/Desktop/kinbench/009-source.txt ~/Desktop/kinbench/009-source\ copy.txt
010-finder-batch-rename	There are three files in ~/Desktop/kinbench/010-batch/ that all start with 'prefix-' (prefix-A.txt, prefix-B.txt, prefix-C.txt). Rename all of them so they start with 'renamed-' instead (so prefix-A.txt → renamed-A.txt, etc).	finder batch_rename_replace ~/Desktop/kinbench/010-batch/ prefix- renamed-
014-notes-create-with-body	Create a new note in Notes titled 'KinBench Test 014' with body content that includes the phrase 'agent benchmark validation'.	notes create_with_body 
015-notes-append-content	There's a note titled 'KinBench Test 015' in Notes that currently contains the line 'original line'. Open it and append a new line that says 'appended line' (so the final note has both lines).	notes append 
016-mail-compose-draft	In Mail, create a new email draft with the subject 'KinBench 016 Test' and the body 'This is a test draft from kin-bench.' Don't send it — leave it as a draft.	mail draft 
017-calendar-find-tomorrow	In Calendar, find the event titled 'KinBench Find Me' that's scheduled for tomorrow. Note the time it starts and write that time (in HH:MM 24-hour format) to ~/Desktop/kinbench/017-found-time.txt.	calendar find_event_hhmm 
018-calendar-create-event	Create a calendar event titled 'KinBench Lunch' for tomorrow at 12:30 PM (default duration is fine).	calendar create_event Home 
019-calendar-event-with-location	Create a calendar event titled 'KinBench Coffee' for the day after tomorrow at 9:00 AM, and set the location to 'Blue Bottle'.	calendar create_event Home 
020-calendar-find-next-week	There's an event titled 'KinBench Weekly Sync' next week in the Calendar. Find which day of the week it falls on and write the day name (Monday/Tuesday/Wednesday/Thursday/Friday/Saturday/Sunday) to ~/Desktop/kinbench/020-day.txt.	calendar find_events_with_summary 
021-settings-do-not-disturb	Turn on Do Not Disturb (or any Focus mode) using the Control Center icon in the menu bar (or System Settings > Focus).	settings toggle_dnd
022-settings-mouse-tracking	Open System Settings and change the mouse tracking speed (also called pointer speed / tracking speed) to a new value — anything different from current is fine.	settings set_mouse_tracking 2.5
023-settings-screensaver-time	In System Settings > Lock Screen (or Desktop & Screen Saver), change the 'Start Screen Saver after' value to 5 minutes (or any non-current value if 5 isn't available).	settings set_screensaver_idle 300
024-terminal-pwd	Open the Terminal app and run the command 'pwd > ~/Desktop/kinbench/024-pwd.txt' so the current directory gets written to that file.	terminal run_to_file 
025-terminal-create-file	Open Terminal and create a file at ~/Desktop/kinbench/025-greeting.txt containing the single line 'hello from kinbench' (use any shell command — echo, cat heredoc, printf, whatever).	terminal run 
026-terminal-pipe-output	Use Terminal to count how many .txt files are in ~/Desktop/kinbench/026-input/ and write that number (just the digits, on a single line) to ~/Desktop/kinbench/026-count.txt.	terminal run_to_file 
027-pages-create-doc	Open Pages, create a new blank document, type 'Hello world from kinbench' as the body, and save the document to ~/Desktop/kinbench/027-doc.pages.	pages add_text ~/Desktop/kinbench/027-doc.pages 
028-numbers-create-sheet	Open Numbers, create a new blank spreadsheet, type the value 42 into cell A1, and save the file to ~/Desktop/kinbench/028-sheet.numbers.	numbers set_cell ~/Desktop/kinbench/028-sheet.numbers Sheet 1 A1 42
029-multi-screenshot-to-mail	Take a screenshot of your screen, save it to ~/Desktop/kinbench/029-shot.png, then open Mail and create a new draft email with subject 'KinBench 029 Screenshot' that has that screenshot attached. Don't send the email — leave it as a draft.	multi screenshot_to_mail 
030-multi-event-to-reminder	There's a calendar event titled 'KinBench Source Event' tomorrow. Find that event, then open the Reminders app and create a new reminder with the same title ('KinBench Source Event'). The reminder doesn't need a due date.	multi event_to_reminder 
031-finder-tag-file	In Finder, find the file ~/Desktop/kinbench/031-tag-me.txt and apply the Red color tag to it (right-click on the file → Tags → click the red dot).	finder tag ~/Desktop/kinbench/031-tag-me.txt red
032-finder-create-alias	In Finder, make an alias of ~/Desktop/kinbench/032-target.txt and place the alias in ~/Desktop/kinbench/032-aliases/ (use Finder File menu → Make Alias, or Cmd+L, or right-click).	finder create_alias ~/Desktop/kinbench/032-target.txt ~/Desktop/kinbench/032-aliases/
033-finder-compress-folder	Compress the entire folder ~/Desktop/kinbench/033-folder/ (with all its contents and nested subfolders) into a single archive at ~/Desktop/kinbench/033-folder.zip.	finder zip ~/Desktop/kinbench/033-folder.zip ~/Desktop/kinbench/033-folder/
036-notes-delete	Delete the note titled 'KinBench Test 036 (delete me)' in the Notes app.	notes delete 
037-notes-list-titles	Find every note in the Notes app whose title starts with 'KinBench Listing' and write each title (one per line, just the titles) to ~/Desktop/kinbench/037-titles.txt.	notes list_titles 
038-calendar-edit-event-time	There's an event titled 'KinBench Reschedule' tomorrow at 10:00 AM. Change its start time to 11:00 AM (same date, preserve duration).	calendar set_start_time 
039-calendar-delete-event	Delete the event titled 'KinBench Cancel' from Calendar (it's scheduled for tomorrow afternoon).	calendar delete_event * 
040-settings-volume	Set the system output volume to 50% (use any method — menu bar volume slider, System Settings > Sound, or function keys).	settings set_volume 50
041-settings-hot-corner	Open System Settings > Desktop & Dock and set the bottom-right Hot Corner to 'Mission Control'.	settings set_hot_corner br 2
042-settings-natural-scroll	Toggle the 'Natural scrolling' setting in System Settings > Trackpad (or Mouse) > Scroll & Zoom — it doesn't matter whether you turn it on or off, just flip whatever the current state is.	settings toggle_natural_scroll
043-terminal-git-init	Open Terminal and create a new directory at ~/Desktop/kinbench/043-repo, cd into it, and initialize an empty git repository (git init).	terminal git_init ~/Desktop/kinbench/043-repo
044-terminal-pipe-grep	Use Terminal to count how many lines in ~/Desktop/kinbench/044-input.txt contain the word 'kinbench' (case-sensitive) and write just that number to ~/Desktop/kinbench/044-count.txt.	terminal run_to_file 
045-reminders-create	In the Reminders app, create a new reminder titled 'KinBench Buy Milk' (no due date or priority needed).	reminders create Reminders 
046-reminders-complete	In the Reminders app, mark the reminder titled 'KinBench Mark Done' as completed (click its checkbox).	reminders complete Reminders 
047-reminders-due-date	There's a reminder titled 'KinBench Schedule' in the Reminders app. Set its due date to tomorrow at 5:00 PM (17:00).	reminders set_due Reminders 
048-multi-finder-mail-attach	Find the file ~/Desktop/kinbench/048-attach.txt in Finder, then open Mail and create a new draft email with subject 'KinBench 048' that has that file attached. Don't send it — leave it as a draft.	multi finder_mail_attach ~/Desktop/kinbench/048-attach.txt 
049-multi-spotlight-calendar	Use Spotlight (Cmd+Space) to launch the Calendar app, then create a new event titled 'KinBench Spotlight Path' for tomorrow at 3:00 PM.	multi spotlight_calendar 
050-multi-pages-pdf	Open Pages, create a new blank document containing the text 'kinbench 050 export', then export the document as a PDF to ~/Desktop/kinbench/050-doc.pdf (File menu → Export To → PDF).	multi pages_text_pdf 
052-finder-toggle-sidebar	Toggle the Finder sidebar visibility (View menu > Hide Sidebar / Show Sidebar).	finder toggle_sidebar
053-finder-toggle-statusbar	Toggle the Finder status bar (View menu > Show / Hide Status Bar).	finder toggle_statusbar
054-finder-toggle-pathbar	Toggle the Finder path bar (View menu > Show / Hide Path Bar).	finder toggle_pathbar
